smiles_r,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.00646604224923168,0.6384892569546373,-0.4814860601221125,0.568201724066995,1.1760912590556813
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.0791812460476249,0.9493900066449128,,1.3483048630481607,1.705007959333336
C#CCN(C)C(C)Cc1ccccc1,0.2787536009528289,1.3010299956639813,-0.8860566476931633,0.2041199826559248,0.11394335230683679
C#CCN(Cc1cc2c(=O)[nH]c(C)nc2cc1C)c1ccc(C(=O)NC(CCc2nn[nH]n2)C(=O)O)c(F)c1,-0.27572413039921095,-0.5376020021010439,-2.0,1.4825877695267675,1.8948696567452525
C#C[C@@]1(O)[C@@H](CO)O[C@H](n2ccc(N)nc2=O)[C@@H]1O,0.04139268515822508,0.2041199826559248,,1.0681858617461617,1.0374264979406236
C#C[C@]1(O)C=C[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,-0.3372421683184259,-0.09691001300805639,-1.6382721639824072,0.9822712330395684,1.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,0.4578818967339924,0.3010299956639812,-1.6989700043360187,1.3729120029701067,1.3979400086720377
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,0.17609125905568124,0.25527250510330607,-1.6020599913279623,1.146128035678238,0.9731278535996987
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.714329759745233,1.1961761850399735,,0.7395723444500919,0.36361197989214433
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.6334684555795865,0.8450980400142568,-1.853871964321762,1.0413926851582251,0.9867717342662449
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,0.36172783601759284,0.6720978579357175,-1.958607314841775,0.9138138523837167,0.9242792860618817
